solution_name,sample_idx,sample_num,actual_7d,actual_28d,prior_mean_7d,prior_std_7d,posterior_mean_7d,posterior_std_7d,prior_mean_14d,prior_std_14d,posterior_mean_14d,posterior_std_14d,prior_mean_21d,prior_std_21d,posterior_mean_21d,posterior_std_21d,prior_mean_28d,prior_std_28d,posterior_mean_28d,posterior_std_28d,prior_mean_56d,prior_std_56d,posterior_mean_56d,posterior_std_56d,prior_mean_90d,prior_std_90d,posterior_mean_90d,posterior_std_90d,prior_error_28d,posterior_error_28d,improvement_28d,improvement_pct_28d,prior_uncertainty_28d,posterior_uncertainty_28d,uncertainty_reduction_28d,uncertainty_reduction_pct_28d,prior_posterior_ratio_28d,is_improved,significant_improvement
Global Scaler,92,93,33.51816,38.2196,-14.673971,7.0919333,26.508654,0.076471426,-13.973703,7.168465,27.208921,0.076471426,-13.4954815,7.23202,27.687143,0.076471426,-13.16091,7.281787,28.021717,0.076471426,-12.3827305,7.4138727,28.799894,0.076471426,-11.845419,7.517904,29.337204,0.076471426,51.38050965270996,10.197882928466797,41.182626724243164,80.15223477268695,7.281787,0.076471426,7.2053156,98.94982576370239,0.19847765227313058,True,True
Global Scaler,93,94,52.4,58.6,0.47706023,5.372993,46.57546,0.0227513,2.3933048,5.5502944,48.491703,0.0227513,3.7019215,5.726553,49.800323,0.0227513,4.6174583,5.8740873,50.71586,0.0227513,6.746895,6.2854943,52.845295,0.0227513,8.217203,6.617825,54.3156,0.0227513,53.98254165649414,7.884141540527345,46.0984001159668,85.39501605779083,5.8740873,0.0227513,5.851336,99.61268305778503,0.14604983942209168,True,True
Global Scaler,94,95,28.7857,31.0,3.3677387,5.094566,28.611298,0.18819556,5.736189,5.1294403,30.979744,0.18819657,7.3536263,5.1824074,32.59717,0.18819936,8.485224,5.2331176,33.72875,0.18820414,11.11718,5.392503,36.360573,0.18824239,12.9344635,5.5342627,38.177544,0.18833147,22.5147762298584,2.728748321533203,19.786027908325195,87.88018902042464,5.2331176,0.18820414,5.0449133,96.40359282493591,0.12119810979575367,True,True
Global Scaler,95,96,13.4,16.1,-55.082924,11.106756,7.4981136,0.01366244,-54.978485,11.175066,7.6025467,0.01366244,-54.907166,11.224004,7.6738663,0.01366244,-54.85727,11.259329,7.7237663,0.01366244,-54.74122,11.344906,7.839819,0.01366244,-54.66108,11.406739,7.9199543,0.01366244,70.95726928710937,8.376233673095705,62.581035614013665,88.19538328172757,11.259329,0.01366244,11.2456665,99.87865686416626,0.11804616718272436,True,True
Global Scaler,96,97,30.152,32.072,13.64913,5.715559,30.111006,0.084541544,16.18794,6.063063,32.64982,0.08454182,17.921719,6.34427,34.38359,0.08454253,19.134706,6.559386,35.596565,0.084544905,21.955976,7.1096883,38.41777,0.08455906,23.903975,7.524067,40.36561,0.08459183,12.93729350280762,3.5245652465820285,9.412728256225591,72.75654876487778,6.559386,0.084544905,6.4748406,98.71107935905457,0.2724345123512221,True,True
Global Scaler,97,98,29.6,34.8,-26.715815,9.591149,22.951328,0.029927889,-25.955667,9.528277,23.711477,0.029927889,-25.436556,9.500648,24.230587,0.029927889,-25.07337,9.488775,24.593773,0.029927889,-24.228643,9.485041,25.438501,0.029927889,-23.645388,9.501957,26.021755,0.029927889,59.873369979858396,10.206227111816403,49.66714286804199,82.95364514265722,9.488775,0.029927889,9.458847,99.68459606170654,0.17046354857342777,True,True
Global Scaler,98,99,14.03,23.68,-26.638094,7.615167,12.488464,0.02200727,-25.144583,7.7229276,13.981977,0.02200727,-24.124651,7.825783,15.001907,0.02200727,-23.411081,7.9113064,15.715477,0.02200727,-21.75141,8.151202,17.375153,0.02200727,-20.605452,8.348223,18.521107,0.02200727,47.091081314086914,7.964523010253906,39.12655830383301,83.0869821036125,7.9113064,0.02200727,7.889299,99.72182512283325,0.16913017896387492,True,True
Global Scaler,99,100,33.10984,35.9556,-26.933954,8.4911375,-12.31082,0.0070746783,-26.749582,8.589189,-12.1264515,0.0070746783,-26.623674,8.658785,-12.000544,0.0070746783,-26.535585,8.7087145,-11.912455,0.0070746783,-26.330706,8.828689,-11.707575,0.0070746783,-26.189238,8.914574,-11.566107,0.0070746783,62.49118540344238,47.868054605102536,14.623130798339844,23.400309505945643,8.7087145,0.0070746783,8.70164,99.91876482963562,0.7659969049405435,True,True
Max Normalization,0,1,53.76,55.02,41.83194,3.4106114,53.053284,1.886488,43.424908,3.4118483,54.644936,1.8879602,44.512756,3.434868,55.72836,1.8929276,45.27385,3.461481,56.481888,1.9013677,47.044037,3.555563,58.193398,1.9654548,48.266304,3.6453125,59.280987,2.1040018,9.746150512695316,1.4618878173828094,8.284262695312506,85.00035664872446,3.461481,1.9013677,1.5601134,45.07068991661072,0.14999643351275535,True,True
Max Normalization,1,2,30.0,33.68,48.398697,5.5299897,31.06419,1.2781252,51.317566,5.601356,33.985104,1.2795856,53.31089,5.6856833,35.985313,1.2845144,54.705467,5.7611094,37.39164,1.292871,57.94908,5.985601,40.726448,1.3558067,60.188694,6.177502,43.175346,1.4891022,21.025467224121094,3.7116397094726565,17.313827514648438,82.34693350731087,5.7611094,1.292871,4.4682384,77.55864262580872,0.17653066492689132,True,True
