Idx_Sample,Ref.,Mixture Code in Ref,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,OPC (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),MK (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg in 1m3 mix),Total aggregates (kg in 1m3 mix),Coarse Agg density (kg/m3),Fine Agg density (kg/m3),Total Na2SiO3 (kg in 1m3 of mix),Na2O (l),SiO2 (l),H2O,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,AL/B,SH/SS,Ms,Ag/B,W/B,Additional water (kg in 1m3 mix),Sp/B,Superplasticizer (kg in 1m3 mix),Total water (in solutions + additional) (kg in 1m3 mix),Initial curing temp (C),Final curing temp (C),7d CS,28d CS,1-d Cubic compressive strength (MPa),3-d Cubic compressive strength (MPa),7-d Cubic compressive strength (MPa),14-d Cubic compressive strength (MPa) ,21-d Cubic compressive strength (MPa),28-d Cubic compressive strength (MPa),56-d Cubic compressive strength (MPa),90-d Cubic compressive strength (MPa) ,180-d Cubic compressive strength (MPa),365-d Cubic compressive strength (MPa) ,1-d Cylindrical compressive strength (MPa),2-d Cylindrical compressive strength (MPa),3-d Cylindrical compressive strength (MPa),4-d Cylindrical compressive strength (MPa),5-d Cylindrical compressive strength (MPa),7-d Cylindrical compressive strength (MPa),12-d Cylindrical compressive strength (MPa),14-d Cylindrical compressive strength (MPa),21-d Cylindrical compressive strength (MPa),28-d Cylindrical compressive strength (MPa),56-d Cylindrical compressive strength (MPa) ,90-d Cylindrical compressive strength (MPa),180-d Cylindrical compressive strength (MPa) ,365-d Cylindrical compressive strength (MPa),Slump (mm),flowtable,"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
826,[59],Mix no.1,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.02625,10.5,114.2,50.0,24.0,25.5208,27.526,,,25.5208,,,27.526,,,,,,,,,,,,,,,,,,,90.1478,,146.8473333
827,[59],Mix no.2,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,880.0,880.0,1760.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.02625,10.5,109.2,50.0,24.0,30.625,32.8125,,,30.625,,,32.8125,,,,,,,,,,,,,,,,,,,80.2956,,146.8953333
828,[59],Mix no.3,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,895.0,895.0,1790.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.5,0.2,0.0,0.02625,10.5,99.2,50.0,24.0,31.5365,34.6354,,,31.5365,,,34.6354,,,,,,,,,,,,,,,,,,,50.2463,,147.0393333
829,[59],Mix no.4,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,910.0,910.0,1820.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.6,0.2,0.0,0.02625,10.5,89.2,50.0,24.0,33.1771,36.0938,,,33.1771,,,36.0938,,,,,,,,,,,,,,,,,,,30.0493,,147.1833333
830,[59],Mix no.5,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,880.0,880.0,1760.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.01875,7.5,112.4,50.0,24.0,27.377,30.3279,,,27.377,,,30.3279,,,,,,,,,,,,,,,,,,,80.0,,141.2553333
831,[59],Mix no.6,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,885.0,885.0,1770.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.0125,5.0,110.9,50.0,24.0,29.6721,32.1311,,,29.6721,,,32.1311,,,,,,,,,,,,,,,,,,,62.8571,,136.6033333
832,[59],Mix no.7,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,887.0,887.0,1774.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.00625,2.5,109.4,50.0,24.0,30.4918,32.9508,,,30.4918,,,32.9508,,,,,,,,,,,,,,,,,,,41.9048,,131.9225333
833,[59],Mix no.8,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,18.0,0.35,0.4,2.6,4.4,0.3,0.0,0.02625,10.5,111.0,50.0,24.0,18.5537,20.3184,,,18.5537,,,20.3184,,,,,,,,,,,,,,,,,,,80.0,,152.9753333
834,[59],Mix no.9,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,12.0,0.35,0.4,2.6,4.4,0.3,0.0,0.02625,10.5,120.6,50.0,24.0,16.0047,18.7985,,,16.0047,,,18.7985,,,,,,,,,,,,,,,,,,,100.0,,134.5913333
835,[59],Mix no.10,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,840.0,840.0,1680.0,2.5,2.67,128.5,11.40%,30.10%,59%,51.5,16.0,0.45,0.40077821,2.6,4.2,0.3,0.0,0.02625,10.5,135.0125,50.0,24.0,27.9032,30.0,,,27.9032,,,30.0,,,,,,,,,,,,,,,,,,,150.244,,170.8657333
