Idx_Sample,Ref.,Mixture Code in Ref,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,OPC (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),MK (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg in 1m3 mix),Total aggregates (kg in 1m3 mix),Coarse Agg density (kg/m3),Fine Agg density (kg/m3),Total Na2SiO3 (kg in 1m3 of mix),Na2O (l),SiO2 (l),H2O,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,AL/B,SH/SS,Ms,Ag/B,W/B,Additional water (kg in 1m3 mix),Sp/B,Superplasticizer (kg in 1m3 mix),Total water (in solutions + additional) (kg in 1m3 mix),Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),7d CS,28d CS,1-d Cubic compressive strength (MPa),3-d Cubic compressive strength (MPa),7-d Cubic compressive strength (MPa),14-d Cubic compressive strength (MPa) ,21-d Cubic compressive strength (MPa),28-d Cubic compressive strength (MPa),56-d Cubic compressive strength (MPa),90-d Cubic compressive strength (MPa) ,180-d Cubic compressive strength (MPa),365-d Cubic compressive strength (MPa) ,1-d Cylindrical compressive strength (MPa),2-d Cylindrical compressive strength (MPa),3-d Cylindrical compressive strength (MPa),4-d Cylindrical compressive strength (MPa),5-d Cylindrical compressive strength (MPa),7-d Cylindrical compressive strength (MPa),12-d Cylindrical compressive strength (MPa),14-d Cylindrical compressive strength (MPa),21-d Cylindrical compressive strength (MPa),28-d Cylindrical compressive strength (MPa),56-d Cylindrical compressive strength (MPa) ,90-d Cylindrical compressive strength (MPa),180-d Cylindrical compressive strength (MPa) ,365-d Cylindrical compressive strength (MPa),Slump (mm),flowtable,"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
484,[31],Mix-4A,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,122,16.84%,35.01%,48%,49,14,0.39953271,0.401639344,2.1,4.2,0.3,43,0.019859813,8.5,128.403,1,75,,24,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,154.8829333
485,[31],Mix-4B,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,122,16.84%,35.01%,48%,49,14,0.39953271,0.401639344,2.1,4.2,0.3,43,0.019859813,8.5,128.403,2,75,,24,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,186.9662667
486,[31],Mix-5A,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,122,16.84%,35.01%,48%,49,14,0.39953271,0.401639344,2.1,4.2,0.3,43,0.019859813,8.5,128.403,2,75,,24,,,32,,,,,,,,,,,,,,,,,,,,,,,,170,,186.9662667
487,[31],Mix-5B,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,122,16.84%,35.01%,48%,49,14,0.39953271,0.401639344,2.1,4.2,0.3,43,0.030373832,13,131.103,2,75,,24,,,30,,,,,,,,,,,,,,,,,,,,,,,,220,,195.4262667
488,[31],Mix-5C,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,122,16.84%,35.01%,48%,49,14,0.39953271,0.401639344,2.1,4.2,0.3,43,0.039719626,17,133.503,2,75,,24,,,29,,,,,,,,,,,,,,,,,,,,,,,,240,,202.9462667
489,[31],Mix-6A,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,122,16.84%,35.01%,48%,49,14,0.39953271,0.401639344,2.1,4.2,0.3,43,0.019859813,8.5,128.403,2,75,,24,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,186.9662667
490,[31],Mix-6B,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,122,16.84%,35.01%,48%,49,14,0.39953271,0.401639344,2.1,4.2,0.3,43,0.019859813,8.5,128.403,2,75,,24,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,186.9662667
491,[31],Mix-8A,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,114,16.84%,35.01%,48%,57,8,0.39953271,0.5,2.1,4.2,0.3,43,0.010046729,4.3,139.231,1,75,,24,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,126.4889333
492,[31],Mix-8B,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,114,16.84%,35.01%,48%,57,10,0.39953271,0.5,2.1,4.2,0.3,43,0.010046729,4.3,134.671,1,75,,24,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,135.2213333
493,[31],Mix-8C,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,114,16.84%,35.01%,48%,57,12,0.39953271,0.5,2.1,4.2,0.3,43,0.010046729,4.3,130.111,1,75,,24,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,143.9537333
